Area,Median_Household_Income
101110,53709.973
101122,113789.63
101210,41852.121
101220,43575.918
101300,85702.445
101400,63977.527
102103,76518.75
102104,79332.766
102105,49763.359
102107,66596.594
103101,77388.602
103102,78739.453
103200,64071.82
103300,90773.18
103400,66204.586
104103,75400.984
104105,40040.387
104108,48119.023
104124,86809.617
104201,52151.457
104203,52028.559
104204,43824.898
104310,51416.168
104320,45818.863
104401,64066.523
104403,45911.039
104404,54781.121
104500,49923.344
104610,51765.801
104620,54700.602
104701,27748.141
104703,40998.168
104704,53341.27
104810,69044.023
104821,51460.668
104822,51981.938
106010,77530.57
106020,73240.68
106111,87287.445
106112,75905.305
106113,72745.898
106114,49780.313
106403,62196.52
106405,48038.504
106406,72756.492
106407,35700.699
106408,43679.746
106510,87800.242
106520,64477.609
106603,100328.76
106604,54299.051
106641,116544.3
106642,101314.09
106643,140530.19
106645,112823.37
106646,89262.344
106648,41387.004
106649,85201.305
107010,56324.805
107020,75315.172
108101,120517.41
108102,97414.086
108103,154393.66
108104,116986.12
108201,109132.09
108202,123000.86
109100,58035.887
109200,78137.656
109300,77042.141
109400,56821.707
109500,54267.266
109601,75930.734
109603,56087.477
109604,74429.43
109700,93235.445
109800,85989.57
111100,80894.461
111201,85120.781
111202,69478.422
111204,130206.48
111205,73216.313
111206,120447.48
111301,54661.398
111302,69714.688
111400,53929.289
113101,112831.84
113102,123930.04
113211,107108.45
113212,80607.344
113213,84178.891
113231,91809.367
113232,107318.23
113233,44423.512
113234,40598.738
113235,72045.57
113237,86729.094
113301,77695.852
113303,92440.828
113321,56858.789
113322,97977.742
113401,73587.133
113421,50573.871
113422,66306.297
115101,120406.16
115103,
115104,44404.441
115201,44837.773
115202,55087.316
115301,72858.203
115302,51355.777
115401,64647.125
115403,45880.316
115404,55245.18
117101,78378.164
117102,71006.211
117201,51650.316
117202,89205.133
117301,95847.094
117302,73282
117303,81737.82
117404,87287.445
117405,34917.734
117407,27156.943
117408,28513.094
117510,37838.758
117520,35610.645
117530,39148.293
119001,73777.844
119002,67100.914
119201,67212.164
119202,56947.785
119310,45279.582
119320,44202.078
119340,29868.188
119341,46087.977
119342,42833.211
119400,80092.43
119700,80800.164
119800,77603.672
119900,65059.27
120010,52180.066
120020,35019.445
120030,25328.256
120103,27609.346
120104,33550.988
120105,32859.137
120106,31954.33
120107,30717.9
120108,35156.121
120300,62471.988
120400,37514.555
121010,59111.273
121020,59092.203
121101,46628.316
121102,75628.781
121210,49043.965
121221,54479.164
121222,45985.203
121600,84480.852
121801,30073.729
121802,54116.82
121900,54699.539
122000,61690.078
122120,54675.172
122121,45184.227
122122,32106.896
122200,58756.344
122410,28876.5
122420,36690.266
123010,42278.035
123020,52147.219
123103,43839.73
123104,44406.559
123203,37768.832
123204,34598.824
123205,38636.555
123206,35815.125
123301,60203.609
123303,37149.027
123304,31207.387
123410,36221.969
123420,38711.781
123510,46379.336
123520,44305.906
123601,62114.938
123602,45406.723
123700,63666.035
123800,44673.551
123901,42114.875
123902,64728.707
124000,86395.352
124102,45931.172
124103,37476.41
124104,34598.824
124105,39841.199
124201,58650.391
124203,40416.508
124204,37216.836
124300,51066.535
124400,71616.477
124500,87859.578
124600,73971.734
124700,85038.141
124902,43502.813
124903,43742.258
125100,51018.859
125200,52589.027
125310,43365.078
125320,43352.363
125401,60278.836
125402,65281.762
125501,54073.379
125502,41433.621
125600,81102.125
127102,42345.844
127103,40556.359
127104,42224.004
127210,47677.215
127220,34667.691
127300,49746.406
127400,38824.086
127520,28893.453
127603,49068.332
127604,32089.945
127605,44742.418
127606,55292.855
127711,67302.219
127712,33293.531
127803,37082.281
127804,42523.84
127805,37876.898
127806,35151.883
127910,34970.707
127920,47544.781
128101,51494.57
128102,37373.641
128210,31950.092
128220,49893.676
128302,34175.027
128303,28546.998
128400,66825.445
128500,67823.492
128601,43822.777
128602,85772.375
128702,74405.063
128801,58616.488
128802,74258.852
128910,71307.102
131010,43883.168
131020,59082.664
131100,70892.844
131200,68110.609
131300,59837.027
131400,54926.273
131600,73560.648
131701,48318.211
131702,61478.18
131800,56180.711
131900,66786.242
132001,65312.488
132002,87990.953
132101,70688.359
132102,56775.09
132300,38084.559
132501,53416.492
132502,47295.797
132700,48437.934
132900,79462.023
133000,74109.469
133100,49333.203
134001,34098.746
134002,51996.773
134101,76960.563
134103,64961.797
134104,63503.934
134201,102184.99
134302,78679.063
134303,92589.156
134304,74364.805
134305,42806.723
134306,66660.164
134421,106831.93
134422,105080.59
134423,108030.22
134424,140052.36
134520,41337.207
134521,38974.535
134522,37744.465
134710,39620.828
134720,55436.949
134800,67822.43
134901,85000
134903,49001.582
134904,51756.266
134905,92705.695
135102,96051.578
135111,90143.844
135113,75110.688
135114,58716.082
135201,94912.625
135202,108556.78
135203,85468.297
137000,112791.58
137103,71217.047
137104,106538.45
137201,74979.313
137301,137999.05
137302,114494.19
137401,109119.38
137402,87922.086
137501,85269.109
137502,80256.648
137504,176650.44
138000,112268.19
139001,79928.203
139200,75479.391
139301,86737.57
139302,46727.91
139303,48640.297
139401,65385.594
139402,101408.38
139502,65698.148
139503,48854.313
139504,43076.895
139600,78627.148
139701,131910.14
139702,169453.3
139703,123100.45
139801,157069.94
139802,152136.94
141101,74740.922
141102,90368.453
141201,62569.461
141202,79504.406
141302,83125.758
141303,71810.367
141304,67212.164
141400,82212.477
141500,192327.77
141600,167352.33
141700,191591.42
143100,109714.81
143200,68102.133
143300,76725.352
143400,98164.211
143500,85554.117
143602,75115.984
143603,76978.57
143604,69890.563
143700,139058.55
143800,124362.31
143901,146070.28
143902,120717.65
181000,92887.93
181300,89560.063
181400,59422.762
181500,95427.539
181600,70191.461
183101,68337.344
183103,56572.727
183104,65776.547
183220,49488.949
183221,58378.102
183222,49208.184
183300,65239.383
183401,53757.652
183402,46726.852
183510,64231.805
183520,40411.207
183610,43768.742
183620,52218.207
183701,47741.844
183702,59043.465
183810,37082.281
183820,29708.203
185100,55312.988
185202,64951.203
185203,46087.977
185204,87550.203
185310,46647.387
185320,37149.027
186100,66218.359
186201,47677.215
186202,76703.109
186203,68505.805
186301,38274.211
186302,65202.301
186401,33405.836
186403,48144.453
186404,47712.18
187101,64486.082
187102,44620.578
187200,38128
187300,90987.203
188100,54163.438
188201,70778.414
188202,96594.039
188300,86286.227
189101,57972.316
189102,68688.039
189201,37832.402
189202,102878.95
189300,165786.39
189400,105419.63
189500,52520.16
189600,73419.734
189701,83200.984
189702,80536.352
189800,60146.398
189902,59682.34
189903,49245.266
189904,47324.406
189905,59312.574
190100,44690.504
190201,29703.965
190202,31923.605
190301,37619.441
190401,42982.602
190402,26619.779
190510,29957.184
190520,29550.338
190700,35178.371
190801,20235.27
190802,34399.641
190901,33346.504
190902,32095.242
191000,43596.047
191110,25162.975
191120,29911.627
191201,35022.625
191203,28201.604
191204,36968.914
191301,41055.379
191302,39304.039
191410,32886.684
191420,40629.465
191500,41375.348
191610,35285.379
191620,28473.893
191710,22371.209
191720,24003.889
191810,35075.598
191820,45911.039
191901,52908.996
191902,87461.203
192001,61559.762
192002,99327.531
192300,102153.2
192410,66988.609
192420,49837.523
192510,46376.156
192520,33179.105
192610,28715.457
192620,30082.205
192700,39974.695
194101,83561.211
194102,152180.38
194200,112631.59
194300,183094.28
194401,78137.656
194402,87515.242
194500,80907.18
195100,135747.63
195201,76048.336
195202,109922.47
195300,72112.32
195400,83269.844
195500,64089.832
195600,47405.984
195710,45132.313
195720,46191.805
195802,40985.453
195803,67703.766
195804,41387.004
195901,58537.027
195902,61522.68
195903,54078.676
197200,52393.023
197300,64679.973
197410,87434.719
197420,46750.16
197500,61803.445
197600,52109.078
197700,33242.676
199000,39498.984
199110,49346.977
199120,28047.977
199201,35483.504
199202,45076.16
199300,57799.617
199400,36082.117
199700,32151.396
199800,31615.291
199900,27092.313
201110,49924.402
201120,40045.684
201200,43281.379
201301,45709.738
201302,64418.277
201401,46813.73
201402,59947.211
201501,44747.715
201503,37774.129
201504,47269.313
201601,55467.672
201602,73502.375
201700,58272.152
203100,24346.105
203200,40953.668
203300,31343.002
203500,38028.406
203600,28970.795
203710,34717.488
203720,27494.922
203800,47866.867
203900,44614.219
204110,35483.504
204120,40568.012
204200,28041.619
204300,32013.662
204410,31049.521
204420,21134.779
204600,39320.988
204700,42031.176
204810,39457.664
204820,43930.848
204910,35493.039
204920,38591
205110,37493.363
205120,26700.301
206010,20356.053
206020,88290.789
206031,87603.18
206032,27646.428
206050,22566.156
206200,18806.014
206300,11107.731
207101,39400.453
207102,18741.385
207103,21631.684
207301,33759.707
207302,40724.82
207400,11228.515
207501,67381.68
207502,15509.929
207710,61239.797
207900,73186.648
208000,39376.082
208301,38099.395
208302,34141.125
208401,24919.291
208402,44131.09
208501,51981.938
208502,30240.068
208610,37804.855
208620,38054.895
208710,47564.91
208720,23640.482
208801,26937.627
208802,33977.961
208902,29905.27
208903,28076.582
208904,18506.176
209102,18932.094
209103,23439.18
209104,20676.02
209200,34335.012
209300,25508.371
209401,22399.816
209402,27702.582
209403,18008.215
209510,29107.471
209520,26077.318
209810,30332.244
209820,24454.174
210010,26250.016
211000,137679.09
211120,42570.457
211121,44513.566
211122,38561.332
211201,35659.379
211202,33125.07
211310,32053.922
211320,31110.973
211410,33084.809
211420,35194.262
211500,54299.051
211701,64673.613
211703,34596.707
211704,35130.691
211802,37245.441
211803,40221.559
211804,41717.563
211910,41752.527
211921,37492.305
211922,43300.449
212101,43282.438
212102,25807.148
212202,34623.195
212203,22177.322
212204,28345.695
212303,26614.482
212304,28717.576
212305,32868.672
212306,33630.449
212410,37176.574
212420,29136.076
212501,36177.473
212502,40687.738
212610,33120.832
212620,36590.676
212701,48899.871
212702,72992.758
212800,51981.938
212900,36455.059
213100,44101.426
213201,32275.357
213202,34055.305
213310,38701.188
213320,24436.162
213401,34045.77
213402,36704.039
214000,84725.594
214100,109681.97
214400,71205.391
214501,83947.922
214502,66502.297
214503,74436.852
214600,89836.586
214700,94912.625
214800,98903.734
214901,60277.773
214902,69529.273
215101,53442.98
215102,52440.699
216100,102485.88
216200,92495.922
216300,96162.828
216401,63851.445
216402,73429.273
216700,70119.414
216800,87365.852
216900,66786.242
217001,74164.563
217002,71515.828
217100,61699.617
217200,55502.637
218110,48702.805
218120,35629.715
218210,36010.07
218220,39600.695
218300,40219.441
218400,32759.545
218500,43204.035
218600,44455.297
218701,44164.996
218702,33991.734
218800,44504.031
218900,34027.758
219010,47125.219
219020,42326.773
219300,28927.355
219500,60116.73
219700,52790.332
219800,30501.764
219901,26349.607
219902,42262.145
220000,40500.207
220100,40364.59
221110,32263.701
221120,33405.836
221210,35095.73
221220,34222.707
221302,38627.02
221303,33573.234
221304,32849.602
221401,21682.539
221402,37661.824
221500,32246.75
221601,36080
221602,31924.664
221710,29665.824
221810,15058.584
221820,17216.773
221900,12981.977
222001,55793.996
222002,44225.387
222100,33932.406
222200,33594.426
222500,34804.367
222600,28156.045
222700,9785.4834
224010,18904.547
224020,22786.531
224200,25392.885
224310,28613.746
224320,31719.123
224410,27698.344
224420,21783.189
224600,30354.494
224700,11188.254
226001,34025.641
226002,28624.342
226410,37744.465
226420,26657.922
226700,33702.496
227010,33542.512
227020,33865.656
228100,38640.793
228210,26624.018
228220,32950.254
228310,34168.672
228320,26366.561
228410,33750.172
228420,31331.348
228500,30225.236
228600,27758.734
228710,29160.445
228720,34946.34
228800,30889.539
228900,18795.418
229100,40076.41
229200,22084.086
229300,31996.709
229410,28928.416
229420,30350.256
231100,29343.738
231210,26803.072
231220,24401.199
231300,26346.43
231400,37360.926
231500,48681.617
231600,37245.441
231710,23013.262
231720,31152.293
231800,26487.342
231900,28536.402
232110,28950.666
232120,32202.252
232200,32192.717
232300,39476.734
232400,33414.313
232500,31623.768
232600,31358.895
232700,28061.75
232800,31955.389
234000,57291.063
234200,49622.445
234300,38152.367
234501,33229.961
234502,27346.592
234600,37302.652
234700,33452.453
234800,55523.828
234901,20191.83
234902,26593.291
235100,67945.328
235201,38877.063
235202,25373.814
236000,69661.711
236100,21117.828
236202,27544.717
236203,31889.701
236204,27149.525
236400,60512.984
237101,27163.299
237102,30607.713
237201,37120.422
237202,38081.383
237300,33585.949
237401,33244.793
237402,35095.73
237500,28243.982
237600,27539.42
237710,27031.922
237720,23085.309
237800,40548.941
237900,41161.332
238000,49001.582
238100,43960.512
238200,37678.773
238310,24668.191
238320,26487.342
238400,55415.758
239201,28606.33
239202,38461.738
239310,32437.459
239320,37854.648
239330,37183.992
239501,32328.332
239502,26059.307
239601,34633.789
239602,30460.443
239701,30405.35
239702,27055.23
239801,31113.092
239802,36132.973
240010,29056.615
240020,40422.863
240200,27023.445
240300,31083.426
240401,29103.232
240402,33784.074
240500,33950.414
240600,35479.266
240700,33457.75
240800,36720.992
240900,34329.715
241001,33357.098
241002,42190.098
241110,34728.086
241120,24671.371
241201,48119.023
241202,33395.242
241300,36325.801
241400,32049.684
242000,34657.098
242100,14859.399
242200,31839.904
242300,34900.781
242600,13756.466
242700,30368.268
243000,39878.285
243100,25107.881
261101,180048.23
261102,156763.75
261200,157157.88
262100,161524.05
262200,182278.47
262301,220989.19
262302,164794.7
262303,220551.63
262400,263549.06
262501,168194.63
262601,228453.33
262604,150689.67
262704,130649.34
262706,171259.73
262802,218679.5
264000,216594.42
264102,99062.664
264103,83140.586
264301,89126.727
264302,100952.8
265100,99815.961
265201,74732.445
265202,69957.313
265301,
265303,15866.978
265304,17966.895
265305,26538.197
265410,102638.45
265420,168459.5
265510,56609.809
265520,91570.984
265601,81555.586
265602,111885.71
265700,109427.69
267100,91940.742
267200,76759.258
267300,54751.457
267402,68468.719
267403,79731.141
267404,84003.016
267501,70122.594
267502,60502.387
267600,76813.297
267700,85849.711
267800,106238.61
267901,103714.9
267902,114557.76
269000,125540.47
269100,85899.508
269300,162842.06
269500,170773.44
269601,41588.305
269602,52353.82
269700,70009.227
269800,49932.879
269903,59348.598
269904,54987.723
269905,64580.379
269906,67950.625
269907,64379.074
270100,55652.027
270200,58596.359
270300,65953.484
271100,80963.328
271200,68122.266
271300,76982.813
271400,100024.68
271500,88143.516
271600,77628.047
271701,82446.617
271702,60892.281
271801,59199.211
271802,59020.156
271901,74710.195
271902,68255.766
272100,89862.016
272201,64452.18
272202,69171.164
272301,74164.563
272302,51465.965
273100,124592.22
273200,86457.867
273300,70456.328
273402,53719.508
273502,68086.242
273600,116905.59
273700,81480.359
273800,92495.922
273902,100753.61
274100,111472.51
274202,106197.29
275101,71185.266
275102,49046.082
275200,52218.207
275302,91613.359
275311,85470.414
275400,106646.52
275500,35615.941
275602,88462.43
275603,77872.789
276000,118443.98
276100,64314.445
276400,100273.66
276500,94219.719
276601,107053.36
276603,79931.383
276604,64067.582
277000,122146.91
277100,86153.789
277200,60167.586
277400,39951.387
278001,77784.852
278102,120984.65
291110,37314.309
291120,39486.27
291130,47235.406
291210,51705.41
291220,43642.664
291300,70947.938
292000,43754.969
293201,63022.922
293202,37047.316
293301,66391.055
293302,65650.469
293304,47938.91
293306,84273.188
293307,54299.051
294110,64479.727
294120,47992.945
294200,69480.539
294301,73924.055
294302,50178.68
294410,46251.137
294421,45706.559
294510,42605.422
294520,48214.379
294610,38224.414
294620,41316.016
294701,31157.59
294810,34913.496
294820,32868.672
294830,31829.311
294900,38406.648
295103,98565.758
296210,29420.021
296220,28284.244
296300,90706.438
296401,82596.008
296402,87739.852
296500,38974.535
296600,31530.533
296901,39525.473
296902,60765.141
297000,81729.344
297110,39970.461
297120,49443.391
297201,60419.746
297202,69396.836
297300,79714.188
297400,99581.813
297500,71304.984
297601,68204.906
297602,71807.188
300100,123193.69
300200,84152.406
300301,106641.22
300400,85570.008
300501,81194.297
300502,77762.602
300600,66120.883
300701,118374.05
300702,126055.38
300800,87682.641
300901,159482.41
300902,134423.27
301000,61466.527
301100,72036.039
301203,59698.23
301204,51082.43
301205,107500.47
301206,57654.469
301300,142561.23
301400,113442.11
301501,70411.836
301502,43055.703
301601,34580.816
301602,54515.188
301701,66483.227
301702,43872.574
301801,44772.086
301802,37126.777
301900,52974.684
302002,48125.383
302003,35442.184
302004,42909.496
302102,48008.836
302103,40111.371
302104,48726.113
302201,23652.137
302202,31992.471
302301,56581.203
302302,42433.781
302401,42692.297
302503,38213.82
302504,35056.527
302505,35095.73
302506,54993.02
310100,127078.85
310201,60223.742
310202,74682.648
310300,119956.94
310400,71185.266
310501,56450.883
310601,53866.777
310602,82428.609
310701,27466.314
310702,43551.547
310703,50605.656
310800,70899.195
310900,75696.586
311000,79383.625
311100,98070.977
311200,65776.547
311300,85003.18
311400,81164.633
311500,82839.695
311600,80590.391
311700,77882.32
311801,56505.977
311802,55731.488
320000,
320100,68156.172
320201,35801.352
320202,65262.691
320300,43486.918
400204,124362.31
400205,179036.42
400206,123523.2
400207,121734.77
400302,70191.461
400304,72762.852
400402,109347.16
400403,87255.664
400404,127817.32
400501,125814.88
400602,54253.492
400603,78634.563
400604,78831.625
400800,63695.703
400900,76627.883
401001,97057.039
401002,60871.09
401101,60331.809
401102,59304.102
401201,101681.73
401202,80041.57
401203,74911.5
401303,107216.52
401304,111584.82
401311,80164.469
401312,72431.227
401500,63325.938
401601,59206.625
401602,71515.828
401603,56443.469
401701,70137.422
401703,54623.258
401704,54914.617
401800,96570.734
401901,58934.336
401902,72840.195
402001,52731
402002,66458.859
402101,57457.402
402102,66322.188
402200,60692.035
402301,48727.176
402303,39263.777
402304,34718.551
402402,56744.363
402403,60920.887
402404,
402405,63404.34
402406,41894.5
402501,38533.785
402502,42379.746
402600,49502.723
402702,35395.566
402703,60920.887
402705,70523.078
402706,66433.43
402801,32040.148
402803,41055.379
402804,45318.785
402902,53181.285
402903,50976.48
402904,64503.035
403000,53987.563
403200,
403303,91315.641
403304,86997.148
403305,76126.742
403312,91411
403316,86682.477
403317,90111
403318,93574.484
403319,70676.703
403320,93909.281
403321,100155
403322,101000.48
403323,91883.531
403324,105850.84
403325,110805.03
403401,82062.023
403402,104294.44
403403,133571.44
403404,123018.88
403405,129031.5
403406,77674.664
403407,139058.55
403408,101585.31
403500,110364.28
403600,72430.164
403702,100462.25
403703,88536.594
403721,79422.828
403722,55623.418
403801,73692.023
403802,60130.504
403901,77535.867
403902,68988.93
404000,65920.641
404100,62093.746
404201,41108.355
404202,51776.398
404301,48968.738
404302,59844.441
404401,56230.508
404402,71815.664
