Area,Median_Rent_Price
101110,1336
101122,2130
101210,1120
101220,1087
101300,1936
101400,1117
102103,2217
102104,2240
102105,1339
102107,1125
103101,1303
103102,1529
103200,941
103300,2106
103400,1378
104103,1644
104105,672
104108,1311
104124,1383
104201,1944
104203,1308
104204,1000
104310,1571
104320,863
104401,1603
104403,1371
104404,1294
104500,1194
104610,1328
104620,1236
104701,818
104703,1322
104704,1365
104810,1509
104821,1333
104822,1341
106010,1622
106020,1480
106111,2034
106112,1819
106113,1250
106114,1110
106403,1917
106405,1168
106406,1701
106407,1261
106408,1181
106510,1603
106520,1539
106603,2842
106604,1256
106641,3182
106642,3017
106643,1904
106645,2316
106646,2370
106648,946
106649,1533
107010,1478
107020,1692
108101,3467
108102,2533
108103,2375
108104,3267
108201,2890
108202,1717
109100,1375
109200,1939
109300,2451
109400,1785
109500,1440
109601,1880
109603,1070
109604,1260
109700,1975
109800,1805
111100,2017
111202,1567
111204,3426
111205,2088
111206,1216
111301,1468
111302,1446
111400,1150
113101,1972
113102,3125
113211,2280
113212,1492
113213,1339
113231,1529
113232,2733
113233,1143
113234,1090
113235,1605
113237,1570
113301,2067
113321,1291
113322,2030
113401,1136
113421,1388
113422,1148
115101,1930
115103,1750
115104,1337
115201,1380
115202,1186
115301,1839
115302,1209
115401,1208
115403,1123
115404,1477
117101,1099
117102,1580
117201,1087
117202,2669
117301,2325
117302,1746
117303,2121
117404,1589
117405,1114
117407,1102
117408,940
117510,1220
117520,1093
117530,1084
119001,2006
119002,1510
119201,871
119202,1269
119310,851
119320,1423
119340,1033
119341,1118
119342,1435
119400,2013
119700,1592
119800,1707
119900,1654
120010,1367
120020,979
120030,971
120103,1084
120104,1117
120105,885
120106,966
120107,1007
120108,1017
120300,984
120400,1095
121010,1341
121020,1230
121101,1041
121102,1137
121210,900
121221,1613
121222,1164
121600,1693
121801,1146
121802,1650
121900,985
122000,1724
122120,1213
122121,965
122122,1112
122200,1336
122410,949
122420,1037
123010,1170
123020,1218
123103,1122
123104,1088
123203,966
123204,1104
123205,1123
123206,1078
123301,1216
123303,1169
123304,1051
123410,1058
123420,1155
123510,1036
123520,1145
123601,1256
123602,1270
123700,1233
123800,1282
123901,1268
123902,1389
124000,1443
124102,1219
124103,1101
124104,1103
124105,1115
124201,1235
124203,1206
124204,1116
124300,1031
124400,1274
124500,1446
124600,1393
124700,1442
124902,1172
124903,1322
125100,1218
125200,1291
125310,1220
125320,1270
125401,1385
125402,1452
125501,1299
125502,1353
125600,1462
127102,1155
127103,1029
127104,1160
127210,1088
127220,1000
127300,1042
127400,1083
127520,979
127603,1133
127604,1045
127605,1203
127606,1161
127711,1123
127712,1016
127803,968
127804,1038
127805,993
127806,959
127910,1128
127920,1168
128101,1190
128102,1132
128210,1078
128220,1124
128302,1033
128303,1124
128400,1431
128500,1384
128601,1148
128602,1305
128702,1515
128801,1211
128802,1550
128910,1484
131010,1231
131020,1165
131100,1782
131200,2040
131300,2171
131400,1210
131600,1877
131701,1195
131702,1400
131800,1187
131900,2077
132001,1191
132002,1491
132101,1357
132102,1120
132300,993
132501,1224
132502,833
132700,1104
132900,1605
133000,1557
133100,1341
134001,1201
134002,1118
134101,1146
134103,1182
134104,1293
134201,1450
134302,2342
134303,1578
134305,1159
134306,1373
134421,3253
134422,2423
134423,2119
134424,2183
134520,1090
134521,1247
134522,1024
134710,1072
134720,1216
134800,1661
134901,1331
134903,1516
134904,943
134905,1927
135102,2693
135111,1888
135113,2034
135114,1565
135201,2193
135202,2619
135203,2581
137000,1983
137103,1766
137104,3190
137201,1610
137301,2843
137302,2482
137401,2332
137402,1930
137501,1685
137502,2452
137504,
138000,2828
139001,1470
139200,1415
139301,2307
139302,1398
139303,1255
139401,1152
139502,1454
139503,1365
139504,1360
139600,1541
139701,2344
139702,2782
139703,2625
139801,2449
139802,3188
141101,1473
141102,1620
141201,1549
141202,1785
141302,1677
141303,1539
141304,1482
141400,1562
141500,2125
141600,2794
143100,1642
143200,1423
143300,1402
143400,1714
143500,1537
143602,1651
143603,1447
143604,1766
143700,2023
143800,1481
143901,3332
143902,1690
181000,1044
181300,1363
181400,1271
181500,1458
181600,1234
183101,1136
183103,1270
183104,1153
183220,1188
183221,1149
183222,973
183300,1341
183401,1121
183402,1161
183510,1145
183520,975
183610,1109
183620,1118
183701,1167
183702,1334
183810,1036
183820,1094
185100,1134
185202,1153
185203,1137
185204,1157
185310,1097
185320,943
186100,1276
186201,1245
186202,1174
186203,1578
186301,1077
186302,1144
186401,1064
186403,1171
186404,1105
187101,1301
187102,1093
187200,1192
187300,1496
188100,1287
188201,1455
188202,1443
188300,1587
189101,1342
189102,1425
189201,1194
189202,1564
189300,1392
189400,1726
189500,1306
189600,1353
189701,1813
189702,1748
189800,1523
189902,1476
189903,1651
189904,1431
189905,1516
190100,1187
190201,1130
190202,1225
190301,1076
190401,1126
190402,1113
190510,1096
190520,962
190700,1119
190801,905
190802,1077
190901,956
190902,955
191000,1144
191110,981
191120,992
191201,1010
191203,968
191204,1027
191301,1125
191302,1052
191410,937
191420,982
191500,1014
191610,1029
191620,1046
191710,870
191720,928
191810,1105
191820,1077
191901,1385
191902,1491
192001,1342
192002,1737
192300,1537
192410,1267
192420,1199
192510,1229
192520,971
192610,1035
192620,994
192700,1064
194101,1493
194102,2012
194200,2623
194300,2079
194401,1449
194402,1745
194500,1396
195100,2034
195201,1445
195202,1982
195300,1390
195400,1272
195500,1245
195600,1091
195710,1009
195720,987
195802,1070
195803,1201
195804,1136
195901,1299
195902,1402
195903,1017
197200,1086
197300,1201
197410,1639
197420,1114
197500,1343
197600,1203
197700,1078
199000,1044
199110,1134
199120,968
199201,907
199202,1051
199300,1067
199400,1045
199700,1118
199800,926
199900,940
201110,1202
201120,1110
201200,1055
201301,1151
201302,1603
201401,1122
201402,872
201501,1056
201503,1134
201504,1089
201601,1029
201602,1167
201700,1145
203100,767
203200,992
203300,1017
203500,960
203600,996
203710,956
203720,942
203800,1144
203900,1110
204110,1013
204120,1092
204200,919
204300,951
204410,873
204420,801
204600,910
204700,918
204810,1046
204820,1049
204910,924
204920,1065
205110,1140
205120,906
206010,648
206020,2054
206031,2185
206032,796
206050,773
206200,449
206300,297
207101,1596
207102,657
207103,902
207301,872
207302,1617
207400,463
207501,1710
207502,427
207710,1816
207900,1958
208000,1098
208301,1065
208302,867
208401,847
208402,1030
208501,1111
208502,899
208610,1027
208620,1019
208710,1159
208720,800
208801,866
208802,851
208902,904
208903,768
208904,674
209102,778
209103,796
209104,747
209200,1527
209300,942
209401,768
209402,812
209403,688
209510,869
209520,858
209810,812
209820,787
210010,804
211000,1899
211120,1256
211121,1200
211122,1119
211201,997
211202,930
211310,1070
211320,882
211410,1013
211420,997
211500,1164
211701,1688
211703,1120
211704,1021
211802,1065
211803,1208
211804,1181
211910,1072
211921,1025
211922,1085
212101,1294
212102,977
212202,784
212203,789
212204,800
212303,777
212304,858
212305,817
212306,1070
212410,1281
212420,1045
212501,1002
212502,1140
212610,1080
212620,1044
212701,1103
212702,1704
212800,1148
212900,972
213100,1087
213201,1000
213202,978
213310,1098
213320,840
213401,1025
213402,1013
214000,1905
214100,2369
214400,1671
214501,2365
214502,2090
214503,1875
214600,1741
214700,1888
214800,1841
214901,1818
214902,1856
215101,1453
215102,1520
216100,1589
216200,1714
216300,1642
216401,1512
216402,1680
216700,1499
216800,1812
216900,1395
217001,1694
217002,1470
217100,1262
217200,1320
218110,1104
218120,957
218210,1120
218220,1082
218300,1174
218400,1135
218500,1049
218600,1216
218701,971
218702,885
218800,958
218900,1043
219010,1177
219020,953
219300,1053
219500,1088
219700,1111
219800,1039
219901,1023
219902,1274
220000,1077
220100,1015
221110,928
221120,1026
221210,1019
221220,953
221302,1103
221303,900
221304,1101
221401,746
221402,1044
221500,860
221601,945
221602,984
221710,976
221810,1036
221820,1429
221900,1018
222001,1138
222002,1051
222100,986
222200,959
222500,1193
222600,1079
222700,2691
224010,619
224020,743
224200,764
224310,863
224320,813
224410,1011
224420,726
224600,793
224700,1422
226001,1000
226002,646
226410,956
226420,894
226700,1001
227010,1055
227020,919
228100,1162
228210,968
228220,929
228310,1018
228320,1018
228410,1069
228420,930
228500,946
228600,1033
228710,1008
228720,1046
228800,859
228900,552
229100,1254
229200,793
229300,1057
229410,1016
229420,1109
231100,862
231210,947
231220,947
231300,982
231400,1050
231500,1128
231600,918
231710,954
231720,1032
231800,1005
231900,927
232110,985
232120,907
232200,1007
232300,1407
232400,968
232500,1145
232600,1013
232700,1077
232800,1032
234000,997
234200,1036
234300,1099
234501,1071
234502,956
234600,961
234700,978
234800,1077
234901,885
234902,948
235100,1200
235201,1120
235202,940
236000,1369
236100,944
236202,988
236203,1049
236204,975
236400,1200
237101,974
237102,898
237201,1009
237202,1084
237300,1142
237401,1127
237402,637
237500,1013
237600,902
237710,977
237720,1020
237800,1143
237900,1325
238000,1175
238100,1083
238200,999
238310,978
238320,909
238400,1015
239201,1071
239202,1074
239310,1060
239320,1059
239330,1054
239501,991
239502,979
239601,1034
239602,1118
239701,951
239702,1073
239801,1103
239802,1074
240010,950
240020,1191
240200,1147
240300,870
240401,1005
240402,968
240500,1208
240600,1149
240700,995
240800,974
240900,1027
241001,1149
241002,1212
241110,1199
241120,1090
241201,1274
241202,1113
241300,941
241400,1130
242000,1017
242100,477
242200,866
242300,1018
242600,531
242700,1037
243000,1304
243100,755
261101,2685
261102,1446
261200,2082
262100,2153
262200,1987
262301,2830
262302,1866
262303,2211
262400,2645
262501,3442
262601,3500
262604,2703
262704,1919
262706,1926
262802,2152
264000,2205
264102,2012
264103,1790
264301,1818
264302,1966
265100,2302
265201,1436
265202,2152
265301,
265303,1800
265304,1435
265305,1599
265410,1707
265420,2372
265510,1878
265520,2233
265601,1979
265602,2341
265700,1970
267100,1661
267200,1999
267300,1394
267402,1497
267403,1697
267404,1919
267501,1451
267502,1528
267600,1722
267700,1658
267800,1832
267901,2564
267902,1993
269000,2406
269100,1911
269300,1972
269500,2750
269601,1231
269602,1205
269700,1238
269800,1476
269903,1373
269904,1378
269905,1423
269906,1528
269907,1307
270100,1423
270200,1232
270300,1262
271100,1331
271200,1519
271300,1536
271400,2950
271500,1612
271600,1702
271701,1624
271702,1564
271801,1388
271802,1530
271901,1463
271902,1249
272100,1672
272201,1353
272202,1357
272301,1317
272302,1244
273100,2492
273200,1993
273300,1760
273402,1487
273502,1773
273600,2191
273700,1498
273800,1719
273902,2026
274100,2348
274202,1805
275101,1641
275102,1136
275200,1260
275302,2220
275311,1573
275400,2505
275500,798
275602,2323
275603,1366
276000,1607
276100,1719
276400,2075
276500,1959
276601,1740
276603,1812
276604,1813
277000,1831
277100,2314
277200,1475
277400,1175
278001,1672
278102,2042
291110,977
291120,969
291130,968
291210,993
291220,983
291300,1407
292000,1303
293201,1087
293202,1052
293301,1528
293302,1316
293304,1021
293306,1404
293307,991
294110,1072
294120,1256
294200,1061
294301,1290
294302,961
294410,865
294421,974
294510,1067
294520,1037
294610,992
294620,1001
294701,963
294810,1062
294820,916
294830,893
294900,961
295103,2213
296210,870
296220,685
296300,1642
296401,1462
296402,1478
296500,988
296600,997
296901,1038
296902,1192
297000,1345
297110,991
297120,1198
297201,1196
297202,1208
297300,1936
297400,2114
297500,1392
297601,1434
297602,1166
300100,2867
300200,1643
300301,1933
300400,1640
300501,2064
300502,1384
300600,1363
300701,1764
300702,1750
300800,1419
300901,1612
300902,2933
301000,1247
301100,1489
301203,1611
301204,1456
301205,1496
301206,1566
301300,2804
301400,2589
301501,1783
301502,1401
301601,1183
301602,1160
301701,1226
301702,1236
301801,1270
301802,1415
301900,1475
302002,1194
302003,1219
302004,1248
302102,1276
302103,1306
302104,1284
302201,1147
302202,1155
302301,1570
302302,1196
302401,1061
302503,1258
302504,1174
302505,1173
302506,1236
310100,2938
310201,1512
310202,1644
310300,2987
310400,1233
310501,1252
310601,1298
310602,1414
310701,1024
310702,1401
310703,1371
310800,1209
310900,1495
311000,1193
311100,1225
311200,1654
311300,1483
311400,1515
311500,1598
311600,1607
311700,1490
311801,1285
311802,1307
320000,
320100,1421
320201,1001
320202,1368
320300,1128
400204,2628
400205,2413
400206,2344
400207,2225
400302,1053
400304,1497
400402,1739
400403,1544
400404,2127
400501,2259
400602,1124
400603,1409
400604,1238
400800,1682
400900,1791
401001,2131
401002,1371
401101,1151
401102,1460
401201,1552
401202,2052
401203,1453
401303,2750
401304,2406
401311,1641
401312,1138
401500,1120
401601,1577
401602,1366
401603,2057
401701,942
401703,1339
401704,1247
401800,1665
401901,1287
401902,1229
402001,1302
402002,1424
402101,1580
402102,1361
402200,1105
402301,1246
402303,897
402304,890
402402,1502
402403,1375
402404,
402405,1621
402406,941
402501,1002
402502,1026
402600,962
402702,969
402703,1307
402705,1469
402706,1535
402801,1048
402803,1176
402804,1128
402902,1106
402903,1182
402904,1458
403000,1520
403200,
403303,2061
403304,1938
403305,1942
403312,1789
403316,1623
403317,1695
403318,1693
403319,1639
403320,1906
403321,1715
403322,2089
403323,2089
403324,1721
403325,1908
403401,1846
403402,2199
403403,2750
403404,2309
403405,2074
403406,1678
403407,3265
403408,2221
403500,1958
403600,1649
403702,1795
403703,1424
403721,1261
403722,1131
403801,1530
403802,1403
403901,1929
403902,1351
404000,1363
404100,1475
404201,1053
404202,1132
404301,1294
404302,1282
404401,1380
404402,1348
404501,1227
404503,1151
404504,1087
404600,1254
404701,1258
404702,1359
404703,1154
404801,1318
404802,1358
404803,1139
404901,1291
404902,1095
404903,1347
405001,1076
405002,1148
405101,1214
405102,1236
405201,1140
405202,1077
405203,1407
405301,1148
405302,1362
405400,2028
405500,1062
405600,980
405701,1165
405702,1263
405800,1433
405900,1576
406000,1733
406101,1264
406102,1173
406200,1061
406300,1522
406402,2217
406411,1443
406412,982
406500,1385
406601,1935
406602,1475
406701,1403
406702,1365
406800,1290
406901,1296
406902,880
407001,1328
407002,1686
407101,959
407102,1172
407200,1224
407301,1452
407302,1261
407400,1537
407501,1258
407502,1407
407601,1025
407602,1365
407701,1059
407702,1452
407801,1273
407802,1234
407900,1595
408003,1643
408004,1246
408005,1512
408006,1369
408133,1398
408134,1978
408135,1716
408136,1685
408137,1481
408138,1367
408139,1328
408140,1875
408141,1395
408202,1116
408211,1335
408212,1813
408301,1314
408302,1417
408303,1212
408401,1395
408402,1844
408501,1531
408503,2491
408504,1416
408505,1650
408623,1656
408624,2279
408625,2046
408626,1473
408627,2207
408628,1482
408629,2036
408630,1838
408631,1747
408703,2395
408704,1232
408705,1746
408706,2000
408722,1734
408723,1930
408724,1221
408800,1120
430002,1676
430003,2524
430101,1143
430102,1279
430200,3008
430301,1951
430302,1292
430400,1648
430501,1350
430502,1507
430600,2250
430701,1250
430721,1404
430723,1443
430724,1460
430801,1463
430802,1318
430803,1591
430901,1353
430902,1373
431001,1279
431002,1143
431100,1180
431200,1412
431300,1718
431400,1234
431501,1137
431502,1575
431600,1111
431700,1207
431800,1414
431900,1127
432000,1216
432101,1578
432102,1590
432201,1210
432202,1277
432300,1530
432401,1089
432402,1093
432500,1229
432601,1187
432602,1500
432700,1148
432801,777
432802,982
432901,1191
432902,1309
433101,794
433102,1083
433200,997
433302,933
433304,989
433305,1145
433306,1132
433307,1266
433401,1272
433402,999
433403,998
433501,816
433503,1217
433504,1091
433601,1195
433602,1009
433700,1188
433801,1120
433802,1375
433901,1071
433902,1157
434001,1342
434003,1055
434004,1322
460000,1880
460100,1633
460200,1645
460301,1555
460302,1392
460401,1575
460501,2311
460502,2266
460600,2630
460700,2625
460800,3500
460900,1378
461000,1422
461100,1273
461200,1372
461300,1354
461400,1168
461501,1307
461502,1277
461600,1085
461700,1625
461901,1148
461902,1616
462001,1215
462002,1027
462100,1181
462201,1030
462202,1652
462301,1228
462302,1454
462400,1137
462500,1506
462600,1970
462700,1247
462800,1173
462900,1773
463000,1781
463101,1426
463102,1572
463200,1295
463300,1294
463400,1452
463500,1480
463601,1633
463602,1596
463700,2413
463800,2339
463900,1846
464000,1585
464200,3491
480002,2118
480011,1200
480012,1162
480101,1483
480102,1300
480201,1275
480202,1979
480302,1320
480303,1287
480304,1170
480400,1247
480500,1461
480600,1363
480702,1394
480703,1468
480704,1438
480802,1075
480803,1139
480804,1268
480901,1158
480902,1146
480903,1172
481001,1202
481002,1172
481101,1183
481102,1361
481103,1209
481201,1235
481202,1144
481300,1479
481401,1330
481402,1223
481500,1240
481603,1321
481604,1167
481605,1360
481606,1193
481711,1271
481712,1199
481713,1131
481714,1099
481800,1574
481901,1303
481902,1127
482001,1028
482002,1197
482101,1187
482102,1550
482201,1094
482202,1267
482301,1212
482303,1142
482304,1131
482401,1124
482402,1170
482502,1178
482503,1171
482521,1192
482522,1414
482600,1486
482701,1297
482702,1085
482800,1412
500100,1857
500201,2710
500202,984
500300,1486
500402,1117
500403,2034
500404,1520
500500,1146
500600,953
500700,1322
500800,1226
500900,1150
501001,1487
501002,2026
501200,1327
501300,1406
501400,1272
501501,1693
501503,1163
501504,970
501600,1148
501700,1314
501802,1450
501803,995
501804,1039
501900,1373
502003,1086
502004,1387
502005,1273
502100,1065
502200,1247
502301,1517
502302,1112
502401,1303
502402,1759
502500,1126
502601,1650
502602,1253
502700,1321
502801,1842
502802,1084
502901,1358
502902,1268
503000,1241
503103,1633
503104,1406
503105,1351
503106,1466
503201,2105
503202,999
503301,1724
503302,1158
503401,1520
503402,1739
503501,1334
503502,1306
503601,1683
503602,2175
503701,1115
503702,1233
503703,990
503801,1822
503802,1784
503901,1688
503902,1832
504001,1466
504002,1539
504101,964
504102,
530003,2123
530004,1247
530005,856
530006,1297
530101,1082
530102,984
530202,1129
530203,1114
530204,1225
530301,990
530302,1054
530400,565
530500,916
530601,1094
530602,1090
530700,986
530801,1012
530802,1014
530901,992
530902,897
531000,1044
531101,1003
531102,870
531201,974
531202,941
531301,937
531302,1100
531502,997
531503,1044
531504,983
531602,986
531603,1036
531604,967
531701,1084
531702,948
531800,1038
531901,957
531902,1030
532001,1047
532002,1123
532101,1171
532102,1071
532200,1099
532302,950
532303,924
532304,980
532400,583
532500,945
532603,974
532604,977
532605,851
532606,894
532700,948
532800,913
532900,885
533001,981
533002,929
533103,879
533104,833
533105,968
533106,1058
533107,893
533201,1011
533202,1129
533203,990
533300,872
533401,982
533402,988
533403,967
533501,1049
533502,918
533503,990
533601,1031
533602,998
533603,971
533701,951
533702,1026
533703,1014
533803,1079
533804,933
533805,1137
533806,975
533901,1150
533902,1127
534001,1142
534002,1194
534101,1041
534102,1135
534201,1090
534202,1118
534203,1088
534301,1059
534302,1194
534403,1116
534404,1038
534405,1176
534406,1205
534501,935
534502,1016
534700,1218
534802,1072
534803,900
534804,1003
534900,1066
535001,885
535002,997
535101,1120
535102,1101
535200,1204
535300,981
535400,1077
535501,967
535502,992
535503,951
535603,923
535604,983
535605,950
535606,921
535607,995
535701,995
535702,1002
535802,1019
535803,1033
535804,969
535901,1142
535902,1298
536000,957
536102,1123
536103,996
536104,1192
536200,1116
540000,1176
540101,1193
540102,1078
540201,927
540202,973
540203,987
540300,973
540400,1057
540501,1224
540502,1011
540600,1029
540700,1264
540800,1176
540901,1243
540902,1164
541001,1188
541002,2123
541100,1109
541200,1147
541300,1342
541400,1135
541500,963
541603,926
541604,964
541605,1107
541606,1015
541700,1451
541801,1114
541802,1284
542000,1189
542103,1168
542104,1151
542105,954
542106,987
542200,1089
542401,1180
542402,1210
542501,1134
542502,1000
542601,906
542602,996
542700,1170
542800,1396
542900,1036
543000,1113
543100,1437
543201,1209
543202,1117
543304,2304
543305,1083
543306,1635
543321,1389
543400,1763
543501,1104
543502,1206
543503,1412
543601,1381
543602,1140
543603,874
543604,2250
543701,1772
543702,1530
543703,1237
543801,1129
543802,1233
543903,934
543905,1364
544001,1158
544002,1453
550000,1688
550201,1184
550202,1803
550300,1344
550400,1825
550500,1411
550601,1204
550602,1594
550700,1730
550800,1267
550901,1277
550902,1198
551000,1376
551101,1070
551102,1141
551201,1283
551202,1348
551300,1208
551401,1113
551402,1299
551501,1330
551502,1218
551600,
551700,1368
551800,1186
551900,1385
552001,1483
552002,1568
552100,755
552200,1173
552301,1761
552302,1000
552400,1577
552601,1225
552602,1438
552700,1389
552800,1504
552900,1340
553000,1625
553100,1591
553200,1222
553300,874
553400,1226
553502,1171
553503,1340
553504,1226
553601,1154
553602,1374
553701,1156
553702,1233
553801,1204
553802,1004
553901,1152
553902,1220
554001,1134
554002,1169
554101,1088
554103,1327
554104,1111
554105,1186
554201,1414
554203,1018
554204,988
554301,1310
554302,1358
554403,1206
554404,1174
554405,1089
554406,1290
554511,2155
554512,2587
554513,2233
554514,1903
554515,2078
554516,2880
554517,1883
554518,2334
554519,3033
554521,1573
554522,2131
554600,1240
554700,1576
554801,1555
554802,1396
554900,1338
555001,1399
555002,1478
555102,1156
555103,1586
555104,1356
555202,2063
555211,1199
555212,1237
570001,1277
570002,1268
570003,1956
570100,1601
570202,1133
570203,1104
570204,1151
570301,1014
570303,1039
570304,1006
570402,1326
570403,942
570404,1108
570501,1247
570502,1311
570601,1130
570602,1147
570603,1111
570701,1218
570702,1856
570800,1761
570901,2343
570902,1716
571000,2061
571101,1961
571102,2133
571200,1185
571300,1541
571400,1212
571502,1138
571503,1358
571504,1096
571600,312
571701,1140
571703,941
571704,1006
571800,1431
571900,1078
572001,1348
572002,1500
572100,1156
572201,1091
572202,1263
572301,1263
572302,1350
572400,1689
572500,387
572600,1307
572700,1096
572800,786
572900,1054
573002,989
573003,967
573004,979
573100,1109
573201,914
573202,1093
573300,1054
573401,1242
573402,1134
573403,1761
573601,2024
573700,2233
573800,2160
573902,1379
574000,2190
574100,2137
574201,2005
574202,1378
574300,1361
574400,1916
574500,2529
574601,
574602,1946
574700,
574800,1230
574901,1644
574902,1477
575001,1577
575002,1460
575101,1037
575102,1033
575103,1047
575201,991
575202,966
575300,840
575401,886
575402,955
575801,863
575802,928
575803,770
575901,944
575902,978
576001,1790
576200,872
576301,926
576302,965
576401,997
576402,1012
576403,1131
576501,978
576502,1057
576503,1032
576601,1117
576602,1187
576700,1264
576801,1051
576802,1109
576901,1061
576903,1124
576904,1132
577000,1189
577100,1224
577200,1299
577300,1316
577400,1380
577501,1488
577504,1481
577602,1932
577603,1443
577604,1990
599000,1412
599100,879
600100,990
600201,1115
600202,954
600302,1140
600303,1029
600304,924
600400,998
600501,1122
600502,1322
600601,1275
600602,1063
600702,1217
600703,1892
600704,1233
600801,1132
600802,1106
600902,966
600911,1200
600912,1135
601001,942
601002,1087
601100,1002
601202,1000
601211,1100
601212,1082
601301,1411
601302,1161
601303,1134
601401,1112
601402,1193
601501,948
601502,1026
601600,987
601700,1092
601801,1086
601802,929
601900,1054
602002,958
602003,1132
602004,1240
602103,1076
602104,1135
602105,1063
602106,956
602200,1396
602301,1103
602302,2445
602402,1250
602403,1103
602404,1162
602504,992
602505,938
602506,1021
602507,933
602508,1007
602509,1186
602600,1100
602700,1424
602801,959
602802,945
602900,832
603001,1137
603004,1004
603005,1246
603006,1166
603101,1199
603102,1109
603200,1156
603301,1252
603302,1174
603400,1036
603500,1813
603600,1359
603702,1569
603703,1607
603704,1017
603801,1250
603802,1281
603900,1374
604001,1462
604002,1303
604100,1354
609900,1208
620001,1588
620002,1566
620101,1467
620102,1659
620201,2586
620301,2805
620303,2192
620305,2184
620400,1969
620501,1908
620521,1456
620522,1654
620601,1497
620602,1765
620701,1673
620702,1957
620800,1697
620901,2000
620904,1892
621001,1815
621002,2005
621004,2037
621102,2033
621104,1834
621201,1788
621204,1717
621301,1911
621324,1867
621326,1737
621400,1713
650001,1118
650003,1119
650004,1336
650101,1440
650102,1756
650200,1691
650300,1451
650401,2192
650501,2146
650502,1813
650602,1464
650603,1287
650604,1298
650605,1427
650701,2275
650702,2203
650800,2512
650901,1202
650902,1228
651001,1401
651002,1435
651101,1741
651102,1401
651201,2556
651221,1245
651222,1636
651302,2215
651304,1722
651401,1481
651402,1527
670001,1140
670002,1302
670003,1376
670100,1225
670201,1723
670202,2902
670324,2250
670326,3500
670328,2844
670403,3500
670405,2175
670406,2591
670407,1985
670411,3257
670413,3129
670416,1851
670602,2283
670701,1316
670702,3500
700101,1211
700102,1142
700200,1433
700300,1498
700400,1599
700501,1484
700502,1493
700600,3299
700700,1427
700801,2175
700802,1748
700901,1622
700902,1874
701000,2085
701100,1386
701201,1950
701202,1926
701302,1695
701304,1798
701402,1519
701501,1667
701502,1548
701601,1990
701602,1611
701701,1479
701702,1273
701801,1376
701802,1473
701902,1804
702002,1512
702102,1730
702201,1652
702202,1635
702300,1311
702400,1626
702501,1665
702502,1754
702600,1822
702700,1458
702801,1453
702802,1467
702803,1500
702901,2411
703001,1806
703002,1764
703100,1162
703200,1377
800101,3297
800102,1901
800202,2639
800203,1828
800204,2247
800324,2541
800325,1926
800326,2130
800327,1885
800328,1957
800329,1986
800330,2321
800331,3029
800406,2129
800408,3084
800410,2813
800504,2231
800506,2855
900102,880
900103,1096
900104,1076
900201,738
900300,1503
900501,1243
900504,1188
900505,776
900506,1117
900507,1213
900508,1399
900602,805
900605,1264
900606,1096
900607,974
900608,1278
900609,1011
900701,1012
900703,876
900704,906
900705,897
900803,1330
900804,1172
900805,1067
900806,712
900900,1456
901003,
901004,1716
901007,1727
901008,1488
901009,1188
901010,1169
901011,1141
901101,1048
901102,1073
901205,886
901209,522
901210,1335
910001,1285
910002,1385
910101,865
910201,1375
910202,1006
910206,1903
910207,1746
910208,1465
910209,1881
910210,1717
910301,1333
910302,1753
910401,1282
910402,864
910403,794
910404,1104
910501,744
910502,974
910504,1164
910505,1387
910601,1212
910602,960
910603,1127
910605,1309
910606,1359
910705,1678
910706,1323
910707,967
910709,1858
910711,1301
910712,1574
910713,1391
910714,1372
910715,1449
910716,1518
910804,
910805,1125
910807,1939
910808,2185
910809,
910810,1446
910811,
910812,2050
911001,921
920011,
920012,1186
920013,1239
920015,1941
920016,2074
920017,1553
920018,2202
920020,1441
920023,1115
920026,
920028,2108
920029,1418
920030,1734
920031,1500
920032,3344
920033,1014
920034,1600
920035,1599
920036,1202
920037,1441
920038,1234
920039,2063
920040,1805
920041,2020
920042,1697
920043,2073
920044,2076
920045,2656
920102,1103
920104,1688
920106,881
920107,2234
920108,2216
920109,1921
920110,1778
920111,2452
920112,1842
920114,1852
920115,1452
920116,1934
920118,2228
920119,2922
920200,
920303,1965
920312,1253
920313,1362
920314,1493
920322,1337
920326,1672
920328,1923
920329,1775
920330,1792
920331,1606
920332,1387
920334,1412
920336,1233
920337,1461
920338,2383
920339,2025
930101,
930301,1115
980001,
980002,
980003,
980004,
980005,
980006,
980007,
980008,988
980009,
980013,
980014,
980015,959
980018,
980019,
980020,
980021,
980022,
980023,
980024,
980025,
980026,
980028,
980030,
980031,
980033,
990300,
